symbol,Period Start,Period End,Return,Earnings Per Share
FRT,2014-12-31,2015-12-31,0.000302866609437,3.04
FSLR,2012-12-31,2013-12-31,0.00280965765591,3.77
FSLR,2013-12-31,2014-12-31,-0.000887054070468,3.97
FSLR,2014-12-31,2015-12-31,0.00190975001169,5.42
FTR,2012-12-31,2013-12-31,0.000263943497888,0.11
FTR,2013-12-31,2014-12-31,0.00169946636756,0.13
FTR,2014-12-31,2015-12-31,-0.00117732836106,-0.29
GD,2013-12-31,2014-12-31,0.0017954514805,7.56
GD,2014-12-31,2015-12-31,-3.12414665663e-05,9.23
GILD,2012-12-31,2013-12-31,0.00397248338906,2.01
GILD,2013-12-31,2014-12-31,0.00100512233752,7.95
GILD,2014-12-31,2015-12-31,0.000262571129848,12.37
GIS,2013-05-26,2014-05-25,0.000381288927312,2.9
GIS,2014-05-25,2015-05-31,0.000138093580425,2.02
GIS,2015-05-31,2016-05-29,0.000463867520177,2.83
GLW,2013-12-31,2014-12-31,0.00115228984109,1.82
GLW,2014-12-31,2015-12-31,-0.000815725219539,1.02
GM,2013-12-31,2014-12-31,-0.000585305429822,1.75
GM,2014-12-31,2015-12-31,-9.45367029322e-05,6.11
GPC,2012-12-31,2013-12-31,0.00109880735825,4.43
GPC,2013-12-31,2014-12-31,0.00119406092092,4.64
GPC,2014-12-31,2015-12-31,-0.000768541811249,4.65
GPN,2013-05-31,2014-05-31,0.00168995802616,3.4
GPN,2014-05-31,2015-05-31,0.00203063928894,4.15
GPN,2015-05-31,2016-05-31,0.00191099990743,2.05
GPS,2013-02-02,2014-02-01,0.00067114200455,2.78
GPS,2014-02-01,2015-01-31,0.0004214015348,2.9
GPS,2015-01-31,2016-01-30,-0.00159246462426,2.24
GRMN,2012-12-29,2013-12-28,0.00057878894239,3.13
GRMN,2013-12-28,2014-12-27,0.000610502780989,1.89
GRMN,2014-12-27,2015-12-26,-0.00124353765179,2.39
GT,2013-12-31,2014-12-31,0.000849978545761,9.13
GT,2014-12-31,2015-12-31,0.00060629963818,1.14
GWW,2012-12-31,2013-12-31,0.000911019319918,11.31
GWW,2013-12-31,2014-12-31,2.86963913204e-05,11.59
GWW,2014-12-31,2015-12-31,-0.000818310576648,11.69
HAL,2013-12-31,2014-12-31,-0.000847449274202,4.13
HAL,2014-12-31,2015-12-31,-0.000547657305645,-0.79
HAS,2012-12-31,2013-12-29,0.00207481876047,2.2
HAS,2013-12-29,2014-12-28,4.13119209269e-05,3.24
HAS,2014-12-28,2015-12-27,0.000835299273794,3.61
HBAN,2012-12-31,2013-12-31,0.00186030779638,0.73
HBAN,2013-12-31,2014-12-31,0.000407640344747,0.73
HBAN,2014-12-31,2015-12-31,0.00021164021164,0.82
HBI,2013-12-28,2015-01-03,0.00231068312928,4.02
HBI,2015-01-03,2016-01-02,0.00036299333544,1.07
HCA,2012-12-31,2013-12-31,0.00208048082107,3.5
HCA,2013-12-31,2014-12-31,0.00212825335354,4.3
HCA,2014-12-31,2015-12-31,-0.000340120936753,5.14
HCN,2012-12-31,2013-12-31,-0.000490757459144,0.28
HCN,2013-12-31,2014-12-31,0.00164022126956,1.46
HCN,2014-12-31,2015-12-31,-0.000459997645748,2.35
HCP,2013-12-31,2014-12-31,0.000856993791079,2.01
HCP,2014-12-31,2015-12-31,-0.000584841800709,-1.21
HD,2013-02-03,2014-02-02,0.000629789272201,3.78
HD,2014-02-02,2015-02-01,0.00155616731701,4.74
HD,2015-02-01,2016-01-31,0.000813751677194,5.49
HES,2012-12-31,2013-12-31,0.00216403211436,15.01
HES,2013-12-31,2014-12-31,-0.000357103856037,7.63
HES,2014-12-31,2015-12-31,-0.00137342047789,-10.78
HIG,2012-12-31,2013-12-31,0.00209542580119,0.37
HIG,2013-12-31,2014-12-31,0.00070509333744,1.81
HIG,2014-12-31,2015-12-31,0.000158578033786,4.05
HOG,2012-12-31,2013-12-31,0.0015280830158,3.3
HOG,2013-12-31,2014-12-31,-0.00015338170235,3.9
HOG,2014-12-31,2015-12-31,-0.00123046644868,3.71
HOLX,2013-09-28,2014-09-27,0.000715781136953,0.06
HOLX,2014-09-27,2015-09-26,0.00252318614476,0.47
HOLX,2015-09-26,2016-09-24,7.28023326764e-05,1.18
HON,2013-12-31,2014-12-31,0.000421780670491,5.4
HON,2014-12-31,2015-12-31,0.000132235418063,6.11
HP,2013-09-30,2014-09-30,0.00150795921181,6.54
